Priority,Feature Name,负责人,Page & Status,Description
P1,Carousel,,"Trade,Done",顶部ticker滚动条，显示多个市场和价格变化
P1,Market List,,"Trade,Done",点击当前市场下拉选择其他市场
P1,Price Chart,,"Trade,Done",价格K线图，trading view 免费版API
P1,Recent Trades,,"Trade,Done",显示：Price、Size、Time 全局交易历史，24h Market Sentiment
P1,Market Info,,"Trade,Done",显示：24h High/Low、Liquidity、Open Interest、1H Net Rate
P0,Trade Panel,,"Trade,Done",多空方向，订单选择Market和Limit，止盈止损，杠杆，输入框
P0,Trade Panel - TPSL,,"Trade,Done",TP Price输入框，TP Price/Gain/%显示 SL Price输入框，SL Price/Loss/%显示
P1,Trade Panel - Detail Review,,"Trade,Done",显示手续费金额；显示当前杠杆倍数；显示预计开仓价格；显示预计强平价格；显示滑点百分比
P1,Positions Tab,,"Trade,Done",显示：Symbol、Size、Net Value、Collateral、Entry Price、Mark/Liq Price、TP/SL Price
P1,Orders Tab,,"Trade,Done",显示订单数量：Orders 12
P1,History Tab,,"Trade,Done",历史交易记录
P0,Claim Tab,,"Trade,Done",Claim功能入口
P2,Chart Positions,,"Trade,Done",图表上显示持仓位置
P1,Pool List,,"Pools,Done",表格展示：Pool、TVL、Supply、Fee APY、APR Snapshot、Actions
P1,Pool List - Filter - Category,,"Pools,Done",按分类筛选：All/Forex/Equities/Indices/Crypto/Commodities/Meme
P1,Pool List - Search,,"Pools,Done",Search Pools输入框模糊搜索
P1,Pool List - Filter - In Wallet,,"Pools,Done",仅显示有持仓的Pool
P2,Pool Detail,,"Pools,Done",分页导航：1、2、3
P1,Pool Detail - Overview,,"Pools,Done",显示：TVL、Total Earned Fees、Remaining Deposit Cap、Remaining Withdrawal Cap、Deposits、Earnings
P1,Pool Detail - Chart,,"Pools,Done",TVL/Fee APR图表，支持30D/90D/180D
P0,Pool Detail - Trade Panel,,"Pools,Done",Deposit/Withdraw按钮切换，输入框、快捷百分比、Rate/Fees/Slippage显示
